x,y,z,cluster
10.231889,-9.309697,11.157166,1
13.95377,0.65635914,7.354204,1
21.743519,2.9703069,3.4245613,1
2.5485847,-26.895529,-5.979445,2
5.0541306,-44.478123,-12.914263,2
8.000098,-10.69365,-12.950979,1
-7.764713,24.920412,-3.5306456,1
8.618878,-16.97778,-4.5084186,2
18.713806,-16.47188,-10.936216,1
-16.719774,-21.838419,25.019917,2
-2.8799553,-43.262547,22.762045,2
-7.551818,-17.07653,-1.9915004,2
4.645326,-20.448391,-13.615967,2
7.8810863,-14.48479,27.294298,2
2.9075892,-20.121737,-6.523745,2
-13.060053,0.04397444,16.120886,1
-15.370939,-7.114339,19.33178,2
-2.6028745,-20.747066,16.396769,2
-17.17593,-20.76582,-8.4576845,2
0.24900074,-12.531079,29.26038,2
8.32509,-20.279839,15.277423,2
17.310598,-39.223946,1.1199709,2
8.870922,-33.207764,0.80072266,2
11.172619,-14.431439,-14.165324,1
14.477458,-28.227097,-15.38268,2
4.6155076,-34.049576,-14.3159685,2
1.5101393,-24.005386,0.8876619,2
9.990535,-10.785845,6.669968,2
7.1654987,-1.4494324,-30.052807,1
4.8968153,-17.12824,44.429546,2
-22.9503,-14.865863,17.954712,2
-3.8719625,-2.9753065,-1.9642315,1
29.40846,-9.50421,-12.627572,1
0.89882624,3.8251622,-4.9930787,1
0.013101953,-41.786026,10.585041,2
-13.79853,-39.92098,7.768014,2
-25.73591,-22.428417,-12.116315,2
20.806688,-37.866283,13.830585,2
-11.323842,-38.387604,-17.758919,2
-3.8980317,-12.785366,7.95991,2
-11.89075,-21.504162,4.002819,2
24.844862,6.157135,2.4196687,1
-6.2673883,-19.638397,23.103075,2
13.852154,-22.758657,5.9627767,2
-9.0624895,-22.945026,33.553783,2
-26.180456,13.37683,18.100079,0
-0.31525335,-40.878254,-12.547005,2
11.691617,-7.3708797,-13.278723,1
6.0229692,-40.74085,-8.723373,2
-0.7706464,-3.3262498,-0.09731673,1
20.806688,-37.866283,13.830585,2
-30.366663,-32.69452,4.018731,2
33.011223,-20.019835,13.82216,2
-5.836086,-19.527042,13.480748,2
9.447056,-4.326378,24.631062,1
5.8753757,-31.670462,10.801129,2
-17.662498,-3.8701136,6.082783,1
-19.60845,-32.20847,12.118692,2
-32.50183,-35.245605,-10.324823,2
-29.337673,-43.321716,12.689601,0
0.62592936,-36.57195,-17.59255,2
-28.727564,-33.110443,18.358248,2
-23.531464,-34.83053,0.19341372,2
-1.9990388,-35.777645,22.938375,2
2.5991712,-27.566015,-14.134273,2
1.9292039,-16.447182,-0.16126858,2
-6.0141473,-22.407072,-2.5377517,2
-25.199945,-33.946224,18.275068,2
5.8783884,-17.494122,21.95118,2
-2.955415,-11.544931,-1.936555,1
5.8753757,-31.670462,10.801129,2
-15.642871,-31.334414,13.675487,2
-0.5580771,-30.713991,-16.98858,2
-34.691833,-33.04008,-0.9704869,0
-29.119705,-45.19462,8.210332,0
33.011223,-20.019835,13.82216,2
12.673673,-28.679274,2.0516098,2
16.191633,-36.191654,-2.3644166,2
-4.9579973,-45.731827,-8.339201,2
-6.103981,-30.880209,31.940964,2
12.663408,-16.32559,22.374062,2
11.47762,-12.2009325,14.982707,2
-19.65754,-6.9254904,11.054118,2
-10.695569,-24.922058,-3.9612415,2
15.645031,-15.751458,-18.59776,2
10.048951,-26.187325,-15.711699,2
-3.2522812,-34.603004,-5.301286,2
16.186993,-8.891749,-9.869108,2
30.737743,-14.579496,23.603481,2
17.930815,-16.950686,35.80597,2
-11.133296,-42.618313,-2.8168237,2
12.286531,-15.87526,11.8470335,2
-17.629038,-35.87387,21.014229,2
1.8600446,-22.319593,12.273164,2
-8.818988,-25.193493,1.2669566,2
19.578611,7.770504,-10.493845,1
-7.98271,12.118728,-22.04422,0
2.979058,-17.30866,-11.255486,2
3.252179,-13.193203,-3.3964708,2
8.432872,-21.786392,28.00347,2
3.805126,-15.339217,14.6609745,2
3.8195176,-27.233059,24.469845,2
-16.761375,-0.82777244,9.475018,1
33.892822,-16.622871,18.9763,2
