x,y,z,cluster
-3.728271,8.397325,5.1364017,3
-1.525297,9.9489975,-7.3039727,0
2.892117,-4.403361,-10.075445,1
1.8876858,5.6462836,-1.6803157,0
-2.4101646,7.5444756,-2.541268,0
-1.616734,10.213274,-6.958857,0
-2.1722949,5.8590703,-0.19917095,0
-10.133906,4.7767987,11.184252,0
6.0156527,3.6126645,0.4932693,1
0.064235985,14.3574505,10.222271,3
-10.133906,4.7767987,11.184252,0
-1.1283731,9.884476,-6.8722024,0
15.198936,-3.8068147,-0.8596547,1
3.3955624,3.526404,-0.7078444,1
-1.6303186,12.5291815,7.970975,3
18.170883,1.8854421,0.030700656,1
5.928576,-2.775901,-2.0822947,1
-10.133906,4.7767987,11.184252,0
-1.9499134,12.953139,8.62334,3
-0.7887275,13.871716,9.527047,3
-0.45511544,-1.6936983,9.28742,4
-2.2650688,6.274836,0.07005302,0
19.921923,6.976912,1.0807967,1
16.410006,-1.8847165,-0.36069736,1
6.366554,3.9819431,0.5575725,1
-9.339347,-1.7598379,1.343058,2
-1.8682364,6.1839447,0.14537455,0
13.049396,-7.506639,-0.8992677,1
-6.6953354,-0.8482055,1.4738213,2
-0.6638916,13.893216,9.560909,3
-3.6768348,8.580795,5.5093875,3
4.479046,0.07048288,2.2163067,1
-7.74241,-2.2921002,-3.9677868,2
-6.1515427,-13.770885,1.5461595,2
12.964606,-7.19179,-0.9838927,1
6.497848,4.083002,1.0445746,1
3.9647326,0.069714226,2.6447809,1
5.4071894,-10.569813,-1.9288782,1
-1.9701904,5.758678,0.08519625,0
5.982745,3.8256404,0.7573724,1
-0.3464021,-1.8959777,8.579424,4
-10.392203,-8.202943,-6.2352996,2
3.704221,-4.184832,-9.478065,1
-8.102012,-1.1479532,-7.228437,2
19.95557,6.944172,1.0220234,1
8.050071,-10.685745,-1.8978418,1
1.6601195,-3.4872544,11.754137,4
-0.96170264,0.7792068,5.24425,4
1.6393926,15.3598585,-7.9762754,0
-2.2452104,8.522203,-5.3614807,0
5.9132943,3.5025864,1.5352063,1
-2.1771905,8.248644,-5.0749364,0
-0.1278332,11.805034,-8.292966,0
1.489663,-3.2719588,11.9242525,4
-1.923803,8.364019,-5.377039,0
-0.5172262,11.855895,-8.50704,0
2.6173997,17.218351,-6.9121184,0
4.9970036,-0.91292036,1.1987092,1
-2.8351104,7.7406163,2.6837053,3
-2.067624,12.572745,8.417568,3
13.148026,-7.5417495,-1.0038188,1
-10.133906,4.7767987,11.184252,0
20.104887,6.628734,0.56292284,1
3.3210979,-4.2520056,-9.3443365,1
0.7099142,-2.8611221,10.768615,4
-0.7089595,-0.7129576,7.3132453,4
-8.51952,-12.4328985,-1.9609435,2
-7.231358,-12.738829,-0.18001701,2
-4.2617373,-0.8364706,4.0444746,2
4.0891714,-3.1178842,-9.28757,1
-0.36677176,-1.539986,8.543675,4
-1.32092,12.801336,8.255124,3
5.1266546,-11.701012,-2.5188391,1
-1.9395703,7.4658732,-3.027131,0
-1.282583,-2.8221066,-2.877166,1
-3.727336,-15.350358,4.605013,2
17.89721,0.53740394,-0.14868963,1
5.5832686,-2.9332561,-2.2052603,1
-10.133906,4.7767987,11.184252,0
-3.4726462,8.892899,5.2865276,3
0.099803284,-1.9327434,8.860975,4
-10.133906,4.7767987,11.184252,0
13.173626,-7.529296,-1.2777808,1
-6.1571865,-13.76577,1.5362227,2
-1.8925163,12.478281,8.463745,3
3.076297,-4.425855,-10.125262,1
3.9124951,-3.5791762,-9.792074,1
5.335094,-10.686244,-2.2891302,1
-6.125283,-13.782818,1.5807145,2
-4.2683744,8.992343,5.018139,3
6.776469,-10.629015,-2.5541875,1
-0.788127,13.878362,9.529136,3
1.8925017,-3.004572,-4.3899817,1
0.11367925,14.732435,10.9091625,3
-7.231141,-13.524049,-0.38917115,2
17.687878,0.652473,-0.32548478,1
-0.78988725,13.869383,9.507371,3
-7.5072966,-13.233247,0.22204803,2
-6.4822226,5.198388,-0.9751021,0
-0.4620645,11.868827,-8.506055,0
2.75503,17.129221,-6.9120135,0
3.075142,17.827528,-7.5249624,0
-1.8709676,7.7001643,-2.7689662,0
-0.48264936,11.353811,-8.2618475,0
12.71259,-7.2839193,-1.3439538,1
0.5885117,-2.7380905,10.532398,4
7.1845565,3.5329273,0.9134318,1
15.852505,-3.7337406,-0.42852768,1
-2.0097282,6.0203505,0.3621419,0
-6.6495585,4.9562364,-0.7635625,0
3.6757166,-3.2480812,-9.330697,1
0.20591114,-2.4965472,-3.0343866,1
-1.8791828,-2.804027,-2.6696768,1
6.3345814,3.3809843,1.5628681,1
0.7111585,-2.880916,10.712836,4
